State (abr),State,County,Mandatory Testing,Ban on Importation of Whole Carcasses,Ban on Exportation of Whole Carcasses,Baiting Banned,"Restriction on Importation of Live Deer, Elk, and Moose","Restriction on Exportation of Live Deer, Elk, and Moose",,Links
AL,Alabama,Autauga,0,1,0,Licencse Required,1,0,,Microsoft Word - WFF CWD Strategic Surveillance and Response Plan - Master Draft 2-04-2021 Final.docx (outdooralabama.com)
AL,Alabama,Baldwin,0,1,0,Licencse Required,1,0,,CWD Zone Map | Outdoor Alabama
AL,Alabama,Barbour,0,1,0,Licencse Required,1,0,,
AL,Alabama,Bibb,0,1,0,Licencse Required,1,0,,
AL,Alabama,Blount,0,1,0,Licencse Required,1,0,,
AL,Alabama,Bullock,0,1,0,Licencse Required,1,0,,
AL,Alabama,Butler,0,1,0,Licencse Required,1,0,,
AL,Alabama,Calhoun,0,1,0,Licencse Required,1,0,,
AL,Alabama,Chambers,0,1,0,Licencse Required,1,0,,
AL,Alabama,Cherokee,0,1,0,Licencse Required,1,0,,
AL,Alabama,Chilton,0,1,0,Licencse Required,1,0,,
AL,Alabama,Choctaw,0,1,0,Licencse Required,1,0,,
AL,Alabama,Clarke,0,1,0,Licencse Required,1,0,,
AL,Alabama,Clay,0,1,0,Licencse Required,1,0,,
AL,Alabama,Cleburne,0,1,0,Licencse Required,1,0,,
AL,Alabama,Coffee,0,1,0,Licencse Required,1,0,,
AL,Alabama,Colbert,1,1,1,1,1,1,,
AL,Alabama,Conecuh,0,1,0,License Required,1,0,,
AL,Alabama,Coosa,0,1,0,License Required,1,0,,
AL,Alabama,Covington,0,1,0,License Required,1,0,,
AL,Alabama,Crenshaw,0,1,0,License Required,1,0,,
AL,Alabama,Cullman,0,1,0,License Required,1,0,,
AL,Alabama,Dale,0,1,0,License Required,1,0,,
AL,Alabama,Dallas,0,1,0,License Required,1,0,,
AL,Alabama,DeKalb,0,1,0,License Required,1,0,,
AL,Alabama,Elmore,0,1,0,License Required,1,0,,
AL,Alabama,Escambia,0,1,0,License Required,1,0,,
AL,Alabama,Etowah,0,1,0,License Required,1,0,,
AL,Alabama,Fayette,0,1,0,License Required,1,0,,
AL,Alabama,Franklin,0,1,0,License Required,1,0,,
AL,Alabama,Geneva,0,1,0,License Required,1,0,,
