state,name,type,dumpster,lat,long,link,,
MN,MNDOT Truck Station,Staffed Checkstation,No Dumpster,47.2997,-96.5153,"//www.google.com/maps/search/?api=1&query=47.2997,-96.5153""",,
MN,Afton State Park,Staffed Checkstation,All Seasons (Sept. 13 - Jan. 1),44.8468,-92.7914,"//www.google.com/maps/search/?api=1&query=44.8468,-92.7914""",,
MN,DNR Wildlife Office,Self-Service,All Seasons (Sept. 13 - Jan. 1),46.5265,-93.7062,"//www.google.com/maps/search/?api=1&query=46.5265,-93.7062""",,
MN,Cenex Station,Staffed Checkstation,"Oct. 14 - Jan. 7, 2026",47.5196,-95.3989,"//www.google.com/maps/search/?api=1&query=47.5196,-95.3989""",,
MN,Fern Town Hall,Staffed Checkstation,No Dumpster,47.52,-95.1292,"//www.google.com/maps/search/?api=1&query=47.5200,-95.1292""",,
MN,Beltrami County Fairgrounds,Staffed Checkstation,"Oct. 14 - Jan. 7, 2026",47.4875,-94.8858,"//www.google.com/maps/search/?api=1&query=47.4875,-94.8858""",,
MN,Cenex Station (Highway 2 and 71),Staffed Checkstation,No Dumpster,47.4277,-94.8614,"//www.google.com/maps/search/?api=1&query=47.4277,-94.8614""",,
MN,Timberline Sport 'n' Convenience,Staffed Checkstation,No Dumpster,47.7333,-94.5482,"//www.google.com/maps/search/?api=1&query=47.7333,-94.5482""",,
MN,Blackduck Lake Public Water Access (East access),N/A,Nov. 8-23,47.6861,-94.6214,"//www.google.com/maps/search/?api=1&query=47.6861,-94.6214""",,
MN,DNR Wildlife Office,Staffed Checkstation,All Seasons (Sept. 13 - Jan. 1),46.3559,-94.2009,"//www.google.com/maps/search/?api=1&query=46.3559,-94.2009""",,
MN,Browns Valley Hardware Hank,Self-Service,No Dumpster,45.5952,-96.8335,"//www.google.com/maps/search/?api=1&query=45.5952,-96.8335""",,
MN,DNR Forestry Office,Staffed Checkstation,All Seasons (Sept. 13 - Jan. 1),43.635,-91.4964,"//www.google.com/maps/search/?api=1&query=43.6350,-91.4964""",,
MN,"Lake Byllesby, Goodhue County Park",Staffed Checkstation,Firearm Season (Nov. 8 - 16 Nov. 22 – Nov. 30),44.507,-92.9055,"//www.google.com/maps/search/?api=1&query=44.5070,-92.9055""",,
MN,Fleet Farm,Self-Service,All Seasons (Sept. 13 - Jan. 1),44.8071,-93.7872,"//www.google.com/maps/search/?api=1&query=44.8071,-93.7872""",,
MN,Strongwell,Staffed Checkstation,No Dumpster,43.8447,-92.1878,"//www.google.com/maps/search/?api=1&query=43.8447,-92.1878""",,
MN,Fleet Farm,Self-Service,Firearm Season (Nov. 8 - 30),45.1608,-93.2349,"//www.google.com/maps/search/?api=1&query=45.1608,-93.2349""",,
MN,"Tronnes Farm parking area, across street from Corner Bar",Self-Service,No Dumpster,47.6078,-96.817,"//www.google.com/maps/search/?api=1&query=47.6078,-96.8170""",,
MN,Kustom Kollision,Staffed Checkstation,All Seasons (Sept. 13 - Jan. 1),47.7722,-96.6079,"//www.google.com/maps/search/?api=1&query=47.7722,-96.6079""",,
MN,Cuyuna Country SRA; Croft Mine Parking Area,Staffed Checkstation,Firearm Season (Nov. 8 - 23),46.4822,-93.9578,"//www.google.com/maps/search/?api=1&query=46.4822,-93.9578""",,
MN,Deer Lake Public Water Access,Nov. 8-23,Nov. 8-23,-94.8882,,"//www.google.com/maps/search/?api=1&query=47.4810,-94.8882""",,
MN,DNR Forestry Station,Staffed Checkstation,Firearm Season (Nov. 8 - 23),47.3329,-93.793,"//www.google.com/maps/search/?api=1&query=47.3329,-93.7930""",,
MN,Delano Sportsman Club,Staffed Checkstation,Firearm Season (Nov. 8 - 30),45.0419,-93.7891,"//www.google.com/maps/search/?api=1&query=45.0419,-93.7891""",,
MN,MNDOT Building,Staffed Checkstation,No Dumpster,46.817,-95.8405,"//www.google.com/maps/search/?api=1&query=46.8170,-95.8405""",,
MN,Dumont City Water Treatment Ponds,N/A,"Oct. 7 – Jan. 7, 2026",45.7158,-96.4259,"//www.google.com/maps/search/?api=1&query=45.7158,-96.4259""",,
MN,Cabelas,Staffed Checkstation,Firearm Season (Nov. 8-16),47.93,-97.0159,"//www.google.com/maps/search/?api=1&query=47.9300,-97.0159""",,
MN,Emily Fire and Rescue Department,Staffed Checkstation,All Seasons (Sept. 13 - Jan. 1),46.7311,-93.958,"//www.google.com/maps/search/?api=1&query=46.7311,-93.9580""",,
MN,"Rice County Fairgrounds, behind red horse barn, enter from 2nd Ave NW or Hiawatha Pioneer Trail (State Hwy 3)",Staffed Checkstation,All Seasons (Sept. 13 - Jan. 1),44.2958,-93.2761,"//www.google.com/maps/search/?api=1&query=44.2958,-93.2761""",,
MN,Tri-County Coop / Cenex,Self-Service,No Dumpster,45.5675,-96.434,"//www.google.com/maps/search/?api=1&query=45.5675,-96.4340""",,
MN,DNR Regional Headquarters,Staffed Checkstation,All Seasons (Sept. 13 - Jan. 1),47.2372,-93.5302,"//www.google.com/maps/search/?api=1&query=47.2372,-93.5302""",,
MN,North of Granger near intersection of 120th St and Kingbird Rd (319),All Seasons (Sept. 13 - Jan. 1),All Seasons,-92.1589,,"//www.google.com/maps/search/?api=1&query=43.5299,-92.1589""",,
MN,"Lake Rebecca Park, first left off Lock and Dam Rd",Staffed Checkstation,Firearm Season (Nov. 8 - 16 Nov. 22 – Nov. 30),44.7443,-92.8514,"//www.google.com/maps/search/?api=1&query=44.7443,-92.8514""",,
MN,Ballfield/Rodeo area,Staffed Checkstation,Nov. 8 - 16,46.8806,-96.3167,"//www.google.com/maps/search/?api=1&query=46.8806,-96.3167""",,
MN,DNR Forestry Office,Staffed Checkstation,Firearm Season (Nov. 8 - 23),46.9933,-93.5986,"//www.google.com/maps/search/?api=1&query=46.9933,-93.5986""",,
MN,BP Gas Station,Staffed Checkstation,Firearm Season (Nov. 8 - 16 Nov. 22 – Nov. 30),43.6624,-91.4686,"//www.google.com/maps/search/?api=1&query=43.6624,-91.4686""",,
MN,Itasca State Park - North Entrance,Staffed Checkstation,No Dumpster,47.5302,-95.2586,"//www.google.com/maps/search/?api=1&query=47.5302,-95.2586""",,
MN,Hardware Hank,Staffed Checkstation,Firearm Season (Nov. 8 - 16 Nov. 22 – Nov. 30),44.0296,-92.7509,"//www.google.com/maps/search/?api=1&query=44.0296,-92.7509""",,
MN,Kenyon Sportsmens Club,Self-Service,No Dumpster,44.2722,-92.9855,"//www.google.com/maps/search/?api=1&query=44.2722,-92.9855""",,
MN,La Crescent Joint Public Works Facility,Staffed Checkstation,Firearm Season (Nov. 8 - 16 Nov. 22 – Nov. 30),43.8266,-91.3051,"//www.google.com/maps/search/?api=1&query=43.8266,-91.3051""",,
MN,DNR Office,Self-Service,All Seasons (Sept. 13 - Jan. 1),44.443,-92.2668,"//www.google.com/maps/search/?api=1&query=44.4430,-92.2668""",,
MN,Lake George Community Park,Staffed Checkstation,No Dumpster,47.1982,-94.9951,"//www.google.com/maps/search/?api=1&query=47.1982,-94.9951""",,
MN,Rice County Hwy Deptartment Shop,Staffed Checkstation,All Seasons (Sept. 13 - Jan. 1),44.478,-93.4286,"//www.google.com/maps/search/?api=1&query=44.4780,-93.4286""",,
MN,Steam Engine Days Park,Staffed Checkstation,Firearm Season (Nov. 8 - 16 Nov. 22 – Nov. 30),43.5205,-91.7696,"//www.google.com/maps/search/?api=1&query=43.5205,-91.7696""",,
MN,Sinclair Station,Staffed Checkstation,No Dumpster,47.3802,-93.1683,"//www.google.com/maps/search/?api=1&query=47.3802,-93.1683""",,
MN,New Market Township Hall,Self-Service,Firearm Season (Nov. 8 - 16 Nov. 22 – Nov. 30),44.6497,-93.2427,"//www.google.com/maps/search/?api=1&query=44.6497,-93.2427""",,
MN,Skluzacek's Quality Meats,Self-Service,No Dumpster,44.5433,-93.5761,"//www.google.com/maps/search/?api=1&query=44.5433,-93.5761""",,
MN,East Side Public Water Access for Gull Lake,Staffed Checkstation,Firearm Season (Nov. 8 - 23),46.5205,-94.2886,"//www.google.com/maps/search/?api=1&query=46.5205,-94.2886""",,
MN,Oslo City Red River Boat Launch,Self-Service,All Seasons (Sept. 13 - Jan. 1),48.1958,-97.1314,"//www.google.com/maps/search/?api=1&query=48.1958,-97.1314""",,
MN,Next to Dollar General and at the interection of 1st Ave NE and County Rd 11/Center Dr,Staffed Checkstation,Firearm Season (Nov. 8 - 16 Nov. 22 – Nov. 30),44.2014,-92.6463,"//www.google.com/maps/search/?api=1&query=44.2014,-92.6463""",,
MN,Cass County Fairgrounds,Self-Service,Firearm Season (Nov. 8 - 23),46.7175,-94.4025,"//www.google.com/maps/search/?api=1&query=46.7175,-94.4025""",,
MN,Kreofsky Do It Best Building Supply,Staffed Checkstation,Firearm Season (Nov. 8 - 16 Nov. 22 – Nov. 30),44.1647,-92.1696,"//www.google.com/maps/search/?api=1&query=44.1647,-92.1696""",,
MN,DNR Forestry Office,Staffed Checkstation,All Seasons (Sept. 13 - Jan. 1),43.6702,-92.0832,"//www.google.com/maps/search/?api=1&query=43.6702,-92.0832""",,
MN,DNR Shop at Gordon Yeager WMA - Southwest Unit,Staffed Checkstation,All Seasons (Sept. 13 - Jan. 1),44.0164,-92.4754,"//www.google.com/maps/search/?api=1&query=44.0164,-92.4754""",,
MN,Cabelas,Staffed Checkstation,No Dumpster,45.1889,-93.553,"//www.google.com/maps/search/?api=1&query=45.1889,-93.5530""",,
MN,DNR Wildlife Office,Self-Service,All Seasons (Sept. 13 - Jan. 1),44.7394,-93.1258,"//www.google.com/maps/search/?api=1&query=44.7394,-93.1258""",,
MN,Pam's Corner Convenience,Staffed Checkstation,No Dumpster,43.8117,-91.7531,"//www.google.com/maps/search/?api=1&query=43.8117,-91.7531""",,
MN,Rushford Shop,N/A,All Seasons (Sept. 13 - Jan. 1),43.8117,-91.7531,"//www.google.com/maps/search/?api=1&query=43.8117,-91.7531""",,
MN,City Lot across from Spring Valley Public Utilities,Staffed Checkstation,All Seasons (Sept. 13 - Jan. 1),43.689,-92.39,"//www.google.com/maps/search/?api=1&query=43.6890,-92.3900""",,
MN,Winona County Fairgrounds (behind A&W All American Foods),Staffed Checkstation,All Seasons (Sept. 13 - Jan. 1),43.9694,-92.0642,"//www.google.com/maps/search/?api=1&query=43.9694,-92.0642""",,
MN,MN DNR - R3 Central Region Headquarters,Self-Service,Firearm Season (Nov. 8 - 30),44.9537,-93.09,"//www.google.com/maps/search/?api=1&query=44.9537,-93.0900""",,
MN,Bear Cave Park,Staffed Checkstation,All Seasons (Sept. 13 - Jan. 1),43.8551,-92.4884,"//www.google.com/maps/search/?api=1&query=43.8551,-92.4884""",,
MN,Lucky Seven One Stop,Self-Service,Firearm Season (Nov. 8 - 23),47.0867,-93.1947,"//www.google.com/maps/search/?api=1&query=47.0867,-93.1947""",,
MN,Little Turtle Lake Store,Self-Service,Firearm Season (Nov. 8 - 23),47.6,-93.7739,"//www.google.com/maps/search/?api=1&query=47.6000,-93.7739""",,
MN,Pour Willies,Self-Service,No Dumpster,47.6566,-94.6747,"//www.google.com/maps/search/?api=1&query=47.6566,-94.6747""",,
MN,The 89 Bar and Grill,Self-Service,No Dumpster,47.4726,-94.8797,"//www.google.com/maps/search/?api=1&query=47.4726,-94.8797""",,
MN,"City Lot Across from FD (46.009731, -96.321519)",Self-Service,No Dumpster,46.0097,-96.3215,"//www.google.com/maps/search/?api=1&query=46.0097,-96.3215""",,
MN,"Cenex, Petro Serve",Staffed Checkstation,"Oct. 7 - Jan. 7, 2026",47.0789,-96.2589,"//www.google.com/maps/search/?api=1&query=47.0789,-96.2589""",,
MN,Wabasha County Fairgrounds,Staffed Checkstation,No Dumpster,44.371,-92.0382,"//www.google.com/maps/search/?api=1&query=44.3710,-92.0382""",,
MN,Traverse Soil & Water Conservation District,Staffed Checkstation,No Dumpster,45.8025,-96.4989,"//www.google.com/maps/search/?api=1&query=45.8025,-96.4989""",,
MN,Whitewater WMA Wildlife Office,Staffed Checkstation,Firearm Season (Nov. 8 - 16 Nov. 22 – Nov. 30),44.0716,-91.9396,"//www.google.com/maps/search/?api=1&query=44.0716,-91.9396""",,
MN,Riverland Trucking,Staffed Checkstation,All Seasons (Sept. 13 - Jan. 1),44.0554,-91.6664,"//www.google.com/maps/search/?api=1&query=44.0554,-91.6664""",,
MN,Fleet Farm,Staffed Checkstation,All Seasons (Sept. 13 - Jan. 1),44.05,-91.6333,"//www.google.com/maps/search/?api=1&query=44.0500,-91.6333""",,
MN,"Zumbro Falls City Park, SE of Main St off Railroad St",Staffed Checkstation,No Dumpster,44.2833,-92.4221,"//www.google.com/maps/search/?api=1&query=44.2833,-92.4221""",,
