name,lat,long,test,link
Brenham Drop Box,30.179327,-96.38708,Mandatory,https://maps.app.goo.gl/s6UmJiU3QHS1SYkx5
Brooks County Drop Box,27.227436,-98.152245,Mandatory,https://maps.app.goo.gl/Y2bDCDzBuSNKTBaM8
Chaparral WMA Check Station,30.036807,-99.140452,Voluntary,https://maps.app.goo.gl/yRa8Uccumw62zc5W9
Coolidge Check Station,31.75661,-96.65013,Mandatory,https://maps.app.goo.gl/S1FX6ASWY4mFAZUY6
Dalhart Check Station,36.0386489,-102.5053147,Mandatory,https://maps.app.goo.gl/oEvGodv5fig1vcKg8
Daughtrey WMA Check Station,30.015738,-99.126672,Voluntary,https://maps.app.goo.gl/yRa8Uccumw62zc5W9
Del Rio Drop Box,29.43187,-100.90898,Mandatory,https://maps.app.goo.gl/tU4LdfYoSkL7sqkL7
Doss Drop Box,30.44347,-99.13059,Mandatory,https://maps.app.goo.gl/TghALwJ66jK5fXTP8
East US 62/180 Staffed Check Station,31.960389,-104.680334,Mandatory,https://maps.app.goo.gl/fZSHhpMQvWFVxjQG7
George Grove Drop Box,28.31439,-98.11422,Mandatory,https://maps.app.goo.gl/t5UKkYdmSFXvJztaA
Gus Engeling WMA Check Station,34.230463,-99.430463,Voluntary,https://maps.app.goo.gl/6a5qSGgVTNYcuEiQ8
Hallettsville Check Station,29.44385,-96.94109,Voluntary,https://maps.app.goo.gl/G5X6mMJbPU9qEi5B7
Harper Drop Box ,30.30186,-99.24844,Mandatory,https://maps.app.goo.gl/S3PNvhFN67kAbr9C9
Hondo Drop Box,29.346774,-99.148061,Mandatory,https://maps.app.goo.gl/KADNw6j2Rji2WVey8
Hueco Mountains Staffed Check Station,31.839343,-105.969485,Mandatory,https://maps.app.goo.gl/4KWuohKHZr4NGpSJ7
Kerr WMA Check Station,30.077224,-99.343654,Voluntary,https://maps.app.goo.gl/1aSCBUPCsqq1fKdAA
La Grange Check Station,29.905708,-96.876604,Voluntary,https://maps.app.goo.gl/1NN456iGkvieE95H9
Las Palomas WMA Check Station,26.167595,-98.010845,Voluntary,https://maps.app.goo.gl/95rNdeGvH4TLJyaW8
Lytle Drop Box,29.1881,-98.79656,Mandatory,https://maps.app.goo.gl/bYAC1NpKqUcfWT869
Mason Mountain WMA Check Station,30.8164592,-99.226841,Voluntary,https://maps.app.goo.gl/S9FS2U5F6jE2aXsS7
Matador WMA Check Station,34.11771,-100.344948,Voluntary,https://maps.app.goo.gl/tn5ytkQX3Ga56afa7
Muse WMA Check Station,31.90298,-98.83504,Voluntary,https://maps.app.goo.gl/BJiteJFLqphWi94R6
Orange Grove Drop Box,28.02611,-98.22539,Mandatory,https://maps.app.goo.gl/bkUxNWqzZbWvpPfc6
Pearsall Drop Box,28.87838,-99.116086,Mandatory,https://maps.app.goo.gl/VqjYXwFAaofDiEf3A
Quilan Staffed Check Station,32.90911,-96.195355,Mandatory,https://maps.app.goo.gl/JrgC8pHim5dsDbDE8
Rockspring Check Station,30.01576,-100.20536,Voluntary,https://maps.app.goo.gl/2KpndNWzMpbbw9ep9
Roger R. Fawcett WMA Check Station,32.6139,-98.30829,Voluntary,https://maps.app.goo.gl/RBn9tyyXppG6WXECA
Segovia Drop Box,30.418925,-99.669696,Mandatory,https://maps.app.goo.gl/EEs6VtQf1QEizwZ76
Sonora Drop Box,30.576636,-100.57739,Mandatory,https://maps.app.goo.gl/BuNFY8yDHTUkbViq8
South Llano River State Park Drop Box,30.4483049,-99.8179267,Mandatory,https://maps.app.goo.gl/FfJfJJ4pxjz2L7DE6
Star Drop Box ,31.464972,-98.317261,Mandatory,https://maps.app.goo.gl/jq7Mgg1d4Md41SFu7
Tarpley Check Station,29.657711,-99.279426,Mandatory,https://maps.app.goo.gl/EijN5aVuKpEjDWZC6
Terrel Drop Box,32.755195,-96.265796,Mandatory,https://maps.app.goo.gl/B5JWkxg6sJVJAWmU7
Tyler Check Station,32.308589,-95.213593,Voluntary,https://maps.app.goo.gl/9FGTg8gAsKm9aW8G8
Uvalde Drop Box,29.23584,-99.749787,Mandatory,https://maps.app.goo.gl/ry9nZVK6UVrSwjAe7
Van Horn Staffed Check Station,31.03744,-104.852833,Mandatory,https://maps.app.goo.gl/JpGRmf2VkFAtKrng6
Vega Check Station,35.243446,-102.434044,Mandatory,https://maps.app.goo.gl/ecTcra2MQp2YSm6b9
Waelder Drop Box,29.69298,-97.2953,Mandatory,https://maps.app.goo.gl/2YEEWRVcD7Xob3hb9
Dees's Local Express,34.758537,-87.992792,Mandatory,https://maps.app.goo.gl/w4G9wFMNfKDwtJGi9
Cherokee Volunteer Fire Department Station 2,34.764644,-87.962478,Mandatory,https://maps.app.goo.gl/P7TpkcaxozSbkke77
Ford City Ace Hardware,34.78521,-87.5295,Mandatory,https://maps.app.goo.gl/Hpm6BLciUCVuSLne8
Perkin's Outdoors,34.79159,-87.67497,Mandatory,https://maps.app.goo.gl/3PxAajUEtcEoKemS8
Cypress Creek Indoor Range,34.874851,-87.700075,Mandatory,https://maps.app.goo.gl/mddr8uvgSdxi7B8k7
247 Chevron (used to be Yogi's Texaco),34.7219,-87.8126,Mandatory,https://maps.app.goo.gl/LsDVkLPcGfrRCGUX6
Colbert Farmers Co-op,34.711946,-87.719654,Mandatory,https://maps.app.goo.gl/MF8ZKd9nTgUuz6XA8
Florence Frozen Meats,34.7901,-87.6694,Mandatory,https://maps.app.goo.gl/bEkJEYbyz18w2dY47
North Alabama Deer Shack,34.85217,-87.39156,Mandatory,https://maps.app.goo.gl/3DB5KLcGJtHo2qbM9
Spring Valley Market,34.65643,-87.61617,Voluntary,https://maps.app.goo.gl/KmtHj56Dhepib57r7
Cabbage Ridge Deer Processing,34.919533,-87.080558,Voluntary,https://maps.app.goo.gl/WR3szPbNQYBYwSz1A
Fancher's Taxidermy,34.4341,-88.1126,Voluntary,https://maps.app.goo.gl/CDsbiVQu968P98fp7
District I WFF Office,34.6588,-86.9676,Voluntary,https://maps.app.goo.gl/9UwZVutBv4TJEB3f7
Liberty Hill Deer Processing,34.3487,-87.76486,Voluntary,https://maps.app.goo.gl/NjF2TSmDVMEY2ZkP9
Hackleburg Hardware,34.2701,-87.8101,Voluntary,https://maps.app.goo.gl/BLfmQb5KCWxARh1y5
USFS - Bankhead Ranger District Office,34.1715,-87.4009,Voluntary,https://maps.app.goo.gl/khufXacb2c94o4VB7
Weavers Meat Processing,34.370268,-86.996661,Voluntary,https://maps.app.goo.gl/yPPn3CXnBHCtz4sX7
Van's Sporting Goods,34.1242,-86.888,Voluntary,https://maps.app.goo.gl/B2UbHUMd4WdCNRfS7
