State,name,lat,long,test,link
TX,Brenham Drop Box,30.17933,-96.38708,Mandatory,https://maps.app.goo.gl/s6UmJiU3QHS1SYkx5
TX,Brooks County Drop Box,27.22744,-98.15225,Mandatory,https://maps.app.goo.gl/Y2bDCDzBuSNKTBaM8
TX,Chaparral WMA Check Station,30.03681,-99.14045,Voluntary,https://maps.app.goo.gl/yRa8Uccumw62zc5W9
TX,Coolidge Check Station,31.75661,-96.65013,Mandatory,https://maps.app.goo.gl/S1FX6ASWY4mFAZUY6
TX,Dalhart Check Station,36.03865,-102.50531,Mandatory,https://maps.app.goo.gl/oEvGodv5fig1vcKg8
TX,Daughtrey WMA Check Station,30.01574,-99.12667,Voluntary,https://maps.app.goo.gl/yRa8Uccumw62zc5W9
TX,Del Rio Drop Box,29.43187,-100.90898,Mandatory,https://maps.app.goo.gl/tU4LdfYoSkL7sqkL7
TX,Doss Drop Box,30.44347,-99.13059,Mandatory,https://maps.app.goo.gl/TghALwJ66jK5fXTP8
TX,East US 62/180 Staffed Check Station,31.96039,-104.68033,Mandatory,https://maps.app.goo.gl/fZSHhpMQvWFVxjQG7
TX,George Grove Drop Box,28.31439,-98.11422,Mandatory,https://maps.app.goo.gl/t5UKkYdmSFXvJztaA
TX,Gus Engeling WMA Check Station,34.23046,-99.43046,Voluntary,https://maps.app.goo.gl/6a5qSGgVTNYcuEiQ8
TX,Hallettsville Check Station,29.44385,-96.94109,Voluntary,https://maps.app.goo.gl/G5X6mMJbPU9qEi5B7
TX,Harper Drop Box ,30.30186,-99.24844,Mandatory,https://maps.app.goo.gl/S3PNvhFN67kAbr9C9
TX,Hondo Drop Box,29.34677,-99.14806,Mandatory,https://maps.app.goo.gl/KADNw6j2Rji2WVey8
TX,Hueco Mountains Staffed Check Station,31.83934,-105.96949,Mandatory,https://maps.app.goo.gl/4KWuohKHZr4NGpSJ7
TX,Kerr WMA Check Station,30.07722,-99.34365,Voluntary,https://maps.app.goo.gl/1aSCBUPCsqq1fKdAA
TX,La Grange Check Station,29.90571,-96.8766,Voluntary,https://maps.app.goo.gl/1NN456iGkvieE95H9
TX,Las Palomas WMA Check Station,26.1676,-98.01085,Voluntary,https://maps.app.goo.gl/95rNdeGvH4TLJyaW8
TX,Lytle Drop Box,29.1881,-98.79656,Mandatory,https://maps.app.goo.gl/bYAC1NpKqUcfWT869
TX,Mason Mountain WMA Check Station,30.81646,-99.22684,Voluntary,https://maps.app.goo.gl/S9FS2U5F6jE2aXsS7
TX,Matador WMA Check Station,34.11771,-100.34495,Voluntary,https://maps.app.goo.gl/tn5ytkQX3Ga56afa7
TX,Muse WMA Check Station,31.90298,-98.83504,Voluntary,https://maps.app.goo.gl/BJiteJFLqphWi94R6
TX,Orange Grove Drop Box,28.02611,-98.22539,Mandatory,https://maps.app.goo.gl/bkUxNWqzZbWvpPfc6
TX,Pearsall Drop Box,28.87838,-99.11609,Mandatory,https://maps.app.goo.gl/VqjYXwFAaofDiEf3A
TX,Quilan Staffed Check Station,32.90911,-96.19536,Mandatory,https://maps.app.goo.gl/JrgC8pHim5dsDbDE8
TX,Rockspring Check Station,30.01576,-100.20536,Voluntary,https://maps.app.goo.gl/2KpndNWzMpbbw9ep9
TX,Roger R. Fawcett WMA Check Station,32.6139,-98.30829,Voluntary,https://maps.app.goo.gl/RBn9tyyXppG6WXECA
TX,Segovia Drop Box,30.41893,-99.6697,Mandatory,https://maps.app.goo.gl/EEs6VtQf1QEizwZ76
TX,Sonora Drop Box,30.57664,-100.57739,Mandatory,https://maps.app.goo.gl/BuNFY8yDHTUkbViq8
TX,South Llano River State Park Drop Box,30.4483,-99.81793,Mandatory,https://maps.app.goo.gl/FfJfJJ4pxjz2L7DE6
TX,Star Drop Box ,31.46497,-98.31726,Mandatory,https://maps.app.goo.gl/jq7Mgg1d4Md41SFu7
TX,Tarpley Check Station,29.65771,-99.27943,Mandatory,https://maps.app.goo.gl/EijN5aVuKpEjDWZC6
TX,Terrel Drop Box,32.7552,-96.2658,Mandatory,https://maps.app.goo.gl/B5JWkxg6sJVJAWmU7
TX,Tyler Check Station,32.30859,-95.21359,Voluntary,https://maps.app.goo.gl/9FGTg8gAsKm9aW8G8
TX,Uvalde Drop Box,29.23584,-99.74979,Mandatory,https://maps.app.goo.gl/ry9nZVK6UVrSwjAe7
TX,Van Horn Staffed Check Station,31.03744,-104.85283,Mandatory,https://maps.app.goo.gl/JpGRmf2VkFAtKrng6
TX,Vega Check Station,35.24345,-102.43404,Mandatory,https://maps.app.goo.gl/ecTcra2MQp2YSm6b9
TX,Waelder Drop Box,29.69298,-97.2953,Mandatory,https://maps.app.goo.gl/2YEEWRVcD7Xob3hb9
AL,Dees's Local Express,34.75854,-87.99279,Mandatory,https://maps.app.goo.gl/w4G9wFMNfKDwtJGi9
AL,Cherokee Volunteer Fire Department Station 2,34.76464,-87.96248,Mandatory,https://maps.app.goo.gl/P7TpkcaxozSbkke77
AL,Ford City Ace Hardware,34.78521,-87.5295,Mandatory,https://maps.app.goo.gl/Hpm6BLciUCVuSLne8
AL,Perkin's Outdoors,34.79159,-87.67497,Mandatory,https://maps.app.goo.gl/3PxAajUEtcEoKemS8
AL,Cypress Creek Indoor Range,34.87485,-87.70008,Mandatory,https://maps.app.goo.gl/mddr8uvgSdxi7B8k7
AL,247 Chevron (used to be Yogi's Texaco),34.7219,-87.8126,Mandatory,https://maps.app.goo.gl/LsDVkLPcGfrRCGUX6
AL,Colbert Farmers Co-op,34.71195,-87.71965,Mandatory,https://maps.app.goo.gl/MF8ZKd9nTgUuz6XA8
AL,Florence Frozen Meats,34.7901,-87.6694,Mandatory,https://maps.app.goo.gl/bEkJEYbyz18w2dY47
AL,North Alabama Deer Shack,34.85217,-87.39156,Mandatory,https://maps.app.goo.gl/3DB5KLcGJtHo2qbM9
AL,Spring Valley Market,34.65643,-87.61617,Voluntary,https://maps.app.goo.gl/KmtHj56Dhepib57r7
AL,Cabbage Ridge Deer Processing,34.91953,-87.08056,Voluntary,https://maps.app.goo.gl/WR3szPbNQYBYwSz1A
AL,Fancher's Taxidermy,34.4341,-88.1126,Voluntary,https://maps.app.goo.gl/CDsbiVQu968P98fp7
AL,District I WFF Office,34.6588,-86.9676,Voluntary,https://maps.app.goo.gl/9UwZVutBv4TJEB3f7
AL,Liberty Hill Deer Processing,34.3487,-87.76486,Voluntary,https://maps.app.goo.gl/NjF2TSmDVMEY2ZkP9
AL,Hackleburg Hardware,34.2701,-87.8101,Voluntary,https://maps.app.goo.gl/BLfmQb5KCWxARh1y5
