fip,link
1077,
5007,
5009,
5015,
5031,
5033,
5047,
5063,
5071,
5083,
5087,
5089,
5101,
5115,
5121,
5127,
5129,
5131,
5139,
5141,
5143,
6027,
6039,
8001,
8013,
8029,
8035,
8037,
8041,
8045,
8049,
8057,
8059,
8063,
8069,
8075,
8077,
8081,
8085,
8087,
8093,
8095,
8101,
8103,
8107,
8115,
8117,
8121,
8123,
8125,
12059,
16021,
16049,
16085,
17007,
17015,
17031,
17037,
17043,
17053,
17063,
17085,
17089,
17091,
17093,
17097,
17099,
17103,
17105,
17111,
17141,
17177,
17197,
17201,
18087,
19005,
19007,
19043,
19053,
19061,
19065,
19071,
19073,
19097,
19105,
19185,
19191,
19193,
20009,
20011,
20015,
20023,
20035,
20039,
20047,
20051,
20055,
20057,
20059,
20063,
20065,
20069,
20075,
20081,
20083,
20085,
20089,
20093,
20095,
20101,
20109,
20119,
20123,
20135,
20137,
20141,
20145,
20147,
20151,
20153,
20155,
20163,
20165,
20167,
20171,
20175,
20179,
20181,
20183,
20185,
20191,
20193,
20195,
20197,
20199,
20201,
20207,
21007,
22107,
24001,
24043,
26037,
26043,
26045,
26057,
26065,
26067,
26075,
26081,
26117,
26129,
27007,
27035,
27037,
27045,
27055,
27109,
27119,
27155,https://www.startribune.com/chronic-wasting-disease-pops-up-in-a-whitetail-deer-near-wheaton/601194389
27169,
28003,
28009,
28047,
28055,
28071,
28093,
28107,
28115,
28135,
28139,
28149,
29001,
29007,
29009,
29011,
29019,
29039,
29043,
29051,
29055,
29059,
29065,
29067,
29071,
29085,
29089,
29091,
29099,
29111,
29115,
29121,
29125,
29129,
29137,
29145,
29149,
29151,
29157,
29167,
29161,
29169,
29171,
29175,
29185,
29186,
29187,
29195,
29199,
29203,
29205,
29209,
29211,
29213,
29221,
29225,
30001,
30003,
30005,
30009,
30013,
30017,
30019,
30025,
30031,
30035,
30041,
30051,
30053,
30055,
30057,
30067,
30071,
30075,
30077,
30079,
30087,
30091,
30103,
30105,
30111,
31005,
31007,
31011,
31013,
31019,
31025,
31029,
31031,
31033,
31041,
31045,
31049,
31057,
31061,
31063,
31065,
31069,
31075,
31079,
31083,
31085,
31087,
31089,
31091,
31093,
31101,
31103,
31105,
31109,
31111,
31115,
31123,
31135,
31137,
31143,
31145,
31151,
31157,
31161,
31165,
31169,
31175,
31181,
35013,
35035,
35053,
36065,
37051,
37069,
37101,
37169,
37171,
37193,
37197,
38001,
38009,
38023,
38037,
38053,
38085,
38105,
39101,
39175,
42009,
42013,
42021,
42033,
42055,
42057,
42061,
42063,
42065,
42067,
42099,
42109,
42111,
42129,
46007,
46017,
46019,
46031,
46033,
46047,
46055,
46063,
46071,
46081,
46085,
46093,
46095,
46103,
46105,
46117,
46119,
46123,
46127,
46137,
47017,https://www.cidrap.umn.edu/chronic-wasting-disease/first-ever-cwd-case-reported-carroll-county-tennessee
47023,
47033,
47045,
47047,
47053,
47069,
47071,
47075,
47079,
47097,
47101,
47109,
47113,
47157,
47167,
47183,
48029,
48083,
48111,
48141,
48205,
48229,
48303,
48325,
48465,
49007,
49009,
49019,
49035,
49037,
49039,
49047,
49049,
51035,
51043,
51047,
51061,
51063,
51069,
51107,
51113,
51121,
51157,
51171,
51187,
53063,
54003,
54027,
54031,
54057,
54065,
55001,
55011,
55021,
55023,
55025,
55027,
55033,
55035,
55039,
55043,
55045,
55047,
55049,
55055,
55057,
55059,
55065,
55069,
55073,
55077,
55079,
55081,
55083,
55085,
55097,
55101,
55103,
55105,
55111,
55115,
55117,
55123,
55125,
55127,
55129,
55131,
55133,
55141,
56001,
56003,
56005,
56007,
56009,
56011,
56013,
56015,
56017,
56019,https://www.buffalobulletin.com/sports/cwd-detected-in-new-hunt-area/article_b4e15270-ac0e-11ef-a923-bfa363da6e5d.html
56021,
56023,
56025,
56027,
56029,
56031,
56033,
56035,
56037,
56039,
56043,
56045,
