year,grp,dp
2012,adult,0
2012,adult,0
2012,adult,0
2012,adult,0
2012,adult,0
2012,adult,0
2012,adult,0
2012,adult,0
2012,adult,0
2012,adult,0
2012,fawn,0
2012,fawn,0
2012,fawn,0
2012,fawn,0
2012,fawn,0
2012,fawn,0
2012,fawn,0
2012,fawn,0
2012,fawn,0
2012,fawn,0
2012,all,0
2012,all,0
2012,all,0
2012,all,0
2012,all,0
2012,all,0
2012,all,0
2012,all,0
2012,all,0
2012,all,0
2013,adult,4
2013,adult,10
2013,adult,5
2013,adult,1
2013,adult,3
2013,adult,4
2013,adult,6
2013,adult,5
2013,adult,3
2013,adult,1
2013,fawn,0
2013,fawn,0
2013,fawn,0
2013,fawn,0
2013,fawn,0
2013,fawn,0
2013,fawn,0
2013,fawn,0
2013,fawn,0
2013,fawn,0
2013,all,4
2013,all,3
2013,all,3
2013,all,0
2013,all,2
2013,all,2
2013,all,1
2013,all,1
2013,all,2
2013,all,4
2014,adult,5
2014,adult,3
2014,adult,5
2014,adult,5
2014,adult,7
2014,adult,4
2014,adult,4
2014,adult,8
2014,adult,11
2014,adult,7
2014,fawn,0
2014,fawn,0
2014,fawn,0
2014,fawn,0
2014,fawn,0
2014,fawn,0
2014,fawn,0
2014,fawn,0
2014,fawn,0
2014,fawn,0
2014,all,2
2014,all,2
2014,all,0
2014,all,1
2014,all,2
2014,all,5
2014,all,1
2014,all,4
2014,all,1
2014,all,2
2015,adult,4
2015,adult,5
2015,adult,5
2015,adult,2
2015,adult,1
2015,adult,3
2015,adult,2
2015,adult,5
2015,adult,0
2015,adult,5
2015,fawn,0
2015,fawn,0
2015,fawn,0
2015,fawn,0
2015,fawn,0
2015,fawn,0
2015,fawn,0
2015,fawn,0
2015,fawn,0
2015,fawn,0
2015,all,1
2015,all,1
2015,all,0
2015,all,1
2015,all,3
2015,all,0
2015,all,1
2015,all,3
2015,all,0
2015,all,0
2016,adult,64
2016,adult,59
2016,adult,56
2016,adult,70
2016,adult,69
2016,adult,59
2016,adult,59
2016,adult,63
2016,adult,61
2016,adult,68
2016,fawn,0
2016,fawn,0
2016,fawn,0
2016,fawn,0
2016,fawn,0
2016,fawn,0
2016,fawn,0
2016,fawn,0
2016,fawn,0
2016,fawn,0
2016,all,23
2016,all,41
2016,all,33
2016,all,39
2016,all,21
2016,all,34
2016,all,25
2016,all,29
2016,all,34
2016,all,34
2017,adult,6
2017,adult,11
2017,adult,9
2017,adult,6
2017,adult,8
2017,adult,4
2017,adult,6
2017,adult,10
2017,adult,5
2017,adult,6
2017,fawn,0
2017,fawn,0
2017,fawn,0
2017,fawn,0
2017,fawn,0
2017,fawn,0
2017,fawn,0
2017,fawn,0
2017,fawn,0
2017,fawn,0
2017,all,3
2017,all,2
2017,all,4
2017,all,1
2017,all,2
2017,all,1
2017,all,3
2017,all,6
2017,all,5
2017,all,1
2018,adult,8
2018,adult,4
2018,adult,8
2018,adult,3
2018,adult,6
2018,adult,2
2018,adult,8
2018,adult,2
2018,adult,5
2018,adult,4
2018,fawn,0
2018,fawn,0
2018,fawn,0
2018,fawn,0
2018,fawn,0
2018,fawn,0
2018,fawn,0
2018,fawn,0
2018,fawn,0
2018,fawn,0
2018,all,2
2018,all,4
2018,all,3
2018,all,1
2018,all,2
2018,all,0
2018,all,3
2018,all,4
2018,all,0
2018,all,2
2019,adult,3
2019,adult,3
2019,adult,7
2019,adult,4
2019,adult,4
2019,adult,3
2019,adult,0
2019,adult,10
2019,adult,6
2019,adult,2
2019,fawn,0
2019,fawn,0
2019,fawn,0
2019,fawn,0
2019,fawn,0
2019,fawn,0
2019,fawn,0
2019,fawn,0
2019,fawn,0
2019,fawn,0
2019,all,1
2019,all,6
2019,all,1
2019,all,1
2019,all,0
2019,all,4
2019,all,1
2019,all,3
2019,all,3
2019,all,2
2020,adult,3
2020,adult,2
2020,adult,5
2020,adult,6
2020,adult,4
2020,adult,2
2020,adult,9
2020,adult,3
2020,adult,2
2020,adult,5
2020,fawn,0
2020,fawn,0
2020,fawn,0
2020,fawn,0
2020,fawn,0
2020,fawn,0
2020,fawn,0
2020,fawn,0
2020,fawn,0
2020,fawn,0
2020,all,3
2020,all,6
2020,all,5
2020,all,4
2020,all,1
2020,all,1
2020,all,3
2020,all,0
2020,all,1
2020,all,0
2021,adult,35
2021,adult,45
2021,adult,44
2021,adult,43
2021,adult,54
2021,adult,45
2021,adult,47
2021,adult,45
2021,adult,39
2021,adult,42
2021,fawn,0
2021,fawn,0
2021,fawn,0
2021,fawn,0
2021,fawn,0
2021,fawn,0
2021,fawn,0
2021,fawn,0
2021,fawn,0
2021,fawn,0
2021,all,17
2021,all,19
2021,all,26
2021,all,26
2021,all,32
2021,all,23
2021,all,26
2021,all,25
2021,all,25
2021,all,34
2022,adult,13
2022,adult,11
2022,adult,10
2022,adult,9
2022,adult,9
2022,adult,14
2022,adult,16
2022,adult,11
2022,adult,9
2022,adult,9
2022,fawn,0
2022,fawn,0
2022,fawn,0
2022,fawn,0
2022,fawn,0
2022,fawn,0
2022,fawn,0
2022,fawn,0
2022,fawn,0
2022,fawn,0
2022,all,6
2022,all,5
2022,all,6
2022,all,7
2022,all,5
2022,all,5
2022,all,1
2022,all,9
2022,all,6
2022,all,4
