Pop,Tested,dp
28,0,0
28,1,2.7
28,2,7
28,3,12.7
28,4,14.3
28,5,18.4
28,6,19.1
28,7,25.9
28,8,27.7
28,9,32.8
28,10,36.7
28,11,38.1
28,12,40.9
28,13,46.6
28,14,49.3
28,15,52
28,16,58.5
28,17,61.8
28,18,64.2
28,19,66.3
28,20,71.1
28,21,74.9
28,22,78.5
28,23,83.1
28,24,85.4
28,25,90.7
28,26,93
28,27,96.4
28,28,100
29,0,0
29,1,4.1
29,2,9.2
29,3,9.8
29,4,12.5
29,5,16.3
29,6,21.1
29,7,23.2
29,8,26.2
29,9,31.9
29,10,34.9
29,11,37.4
29,12,41.9
29,13,42.3
29,14,48.9
29,15,52.3
29,16,53.2
29,17,56
29,18,60.7
29,19,64.4
29,20,66.2
29,21,73.4
29,22,74.5
29,23,80.6
29,24,82.9
29,25,86
29,26,89.3
29,27,92.4
29,28,96.4
29,29,100
34,0,0
34,1,2.4
34,2,6.7
34,3,8.9
34,4,12.5
34,5,13.9
34,6,15.7
34,7,21.6
34,8,23.3
34,9,28
34,10,29.5
34,11,30.7
34,12,36.3
34,13,38.5
34,14,40.4
34,15,43.6
34,16,48.6
34,17,50.4
34,18,51.5
34,19,53.9
34,20,57.4
34,21,60.3
34,22,62.8
34,23,64.9
34,24,69.2
34,25,73.1
34,26,76.9
34,27,78.7
34,28,82.2
34,29,86
34,30,87.9
34,31,91.8
34,32,94.1
34,33,96
34,34,100
54,0,0
54,1,1.6
54,2,2.9
54,3,5
54,4,6.5
54,5,10.2
54,6,12.4
54,7,12.8
54,8,14.7
54,9,16
54,10,18.7
54,11,21.6
54,12,23.4
54,13,25.5
54,14,25
54,15,30.1
54,16,30
54,17,30.8
54,18,33.1
54,19,35.4
54,20,33.3
54,21,37.6
54,22,39.9
54,23,42.8
54,24,44.4
54,25,45.9
54,26,48.9
54,27,48.4
54,28,49.4
54,29,55.1
54,30,56.7
54,31,58.5
54,32,59
54,33,62.8
54,34,64.1
54,35,64.2
54,36,67.1
54,37,69.9
54,38,70.9
54,39,72.4
54,40,74.4
54,41,75.1
54,42,77
54,43,77.9
54,44,83.4
54,45,84.7
54,46,84
54,47,85.7
54,48,89.3
54,49,90.3
54,50,92.3
54,51,95.3
54,52,95.1
54,53,98.3
54,54,100
56,0,0
56,1,2.4
56,2,3.3
56,3,4.3
56,4,7
56,5,8.4
56,6,10.5
56,7,12.4
56,8,13.5
56,9,17.4
56,10,19.4
56,11,20.3
56,12,21.3
56,13,23.2
56,14,24.8
56,15,27.1
56,16,28.2
56,17,30
56,18,32.6
56,19,35.4
56,20,33.4
56,21,37.2
56,22,39.6
56,23,42
56,24,41.3
56,25,46
56,26,45.5
56,27,49.3
56,28,49.5
56,29,50.5
56,30,55.9
56,31,56.1
56,32,54.3
56,33,57.7
56,34,59.7
56,35,63.2
56,36,64.7
56,37,68.1
56,38,67.1
56,39,71.8
56,40,72.7
56,41,73.7
56,42,77.7
56,43,77.5
56,44,77.7
56,45,81
56,46,81
56,47,83.5
56,48,86
